,Gene
0,RECQL4
1,UBE2C
2,ESPL1
3,TROAP
4,CCNE2
5,SPAG5
6,MYBL2
7,LRRC14
8,PSMC3IP
9,FAM82B
10,EPN3
11,LLGL2
12,ESRP1
13,YTHDF1
14,BRCA1
15,ADRM1
16,MTERFD1
17,DBF4B
18,SCRIB
19,EIF4EBP1
20,C20orf20
21,SLC35B1
22,HSF1
23,CTTN
24,TUBG1
25,ATAD2
26,BOP1
27,CIT
28,TMEM97
29,NUP107
30,PYCRL
31,RAD54B
32,RPS6KB2
33,ZC3H3
34,RRM2B
35,GINS4
36,CPSF1
37,SLC39A4
38,FOXK2
39,ATP6V1C1
40,LEPREL4
41,EVPL
42,STX1A
43,CYHR1
44,MTDH
45,E2F7
46,CYB561
47,ASH2L
48,DCAF7
49,ANKRD46
50,STX16
51,SLC25A39
52,CSE1L
53,EME1
54,RAD9A
55,NFKBIL2
56,LSM1
57,TPD52
58,UTP23
59,FBXL6
60,BRF2
61,SHARPIN
62,MPP3
63,YWHAZ
64,AP3M2
65,LETM2
66,FAM83D
67,C8orf55
68,GRHL2
69,VDAC3
70,ERAL1
71,GPR172A
72,ATP2A2
73,SLC17A9
74,FRS2
75,C17orf28
76,KIFC2
77,DDHD2
78,SLC26A7
79,SKA2
80,PPAPDC1B
81,ADCK5
82,SRGAP1
83,RHPN1
84,TLK2
85,TERF1
86,GNPNAT1
87,INTS2
88,ZBTB10
89,FAM83H
90,COX6C
91,CCND1
92,TOP1MT
93,GDAP1
94,LUC7L3
95,ZNF703
96,CABLES2
97,AGPAT6
98,PPP1R16A
99,RAB11FIP1
100,MYST3
